date,time,timestamp_utc,temp_c,dewpt_c,humidity_pct,pressure_hpa,wind_dir_deg,wind_dir_card,wind_speed_kmh,wind_gust_kmh,precip_mm,wx_phrase
12/31/2009,11:49 PM,2010-01-01 04:49:00+00:00,7.0,,100.0,981.81,300.0,WNW,6.0,,,Cloudy
12/31/2009,11:52 PM,2010-01-01 04:52:00+00:00,7.0,,97.0,982.33,300.0,WNW,6.0,,,Cloudy
01/01/2010,12:52 AM,2010-01-01 05:52:00+00:00,7.0,,100.0,981.94,270.0,W,7.0,,,Mostly Cloudy
01/01/2010,01:52 AM,2010-01-01 06:52:00+00:00,7.0,,96.0,982.14,300.0,WNW,15.0,,,Cloudy
01/01/2010,02:52 AM,2010-01-01 07:52:00+00:00,7.0,,93.0,981.65,330.0,NNW,17.0,,,Cloudy
01/01/2010,03:52 AM,2010-01-01 08:52:00+00:00,7.0,,89.0,980.88,340.0,NNW,15.0,,,Mostly Cloudy
01/01/2010,04:52 AM,2010-01-01 09:52:00+00:00,6.0,,89.0,980.69,330.0,NNW,20.0,31.0,,Mostly Cloudy
01/01/2010,05:52 AM,2010-01-01 10:52:00+00:00,6.0,,82.0,980.98,330.0,NNW,15.0,,,Cloudy
01/01/2010,06:42 AM,2010-01-01 11:42:00+00:00,5.0,,87.0,981.16,320.0,NW,22.0,43.0,0.01,Cloudy
01/01/2010,06:52 AM,2010-01-01 11:52:00+00:00,5.0,,86.0,981.65,320.0,NW,20.0,35.0,0.01,Cloudy
01/01/2010,07:52 AM,2010-01-01 12:52:00+00:00,4.0,,79.0,982.14,330.0,NNW,33.0,43.0,0.01,Mostly Cloudy / Windy
01/01/2010,08:16 AM,2010-01-01 13:16:00+00:00,4.0,,81.0,981.81,330.0,NNW,19.0,43.0,,Mostly Cloudy
01/01/2010,08:52 AM,2010-01-01 13:52:00+00:00,4.0,,79.0,983.0,340.0,NNW,31.0,44.0,,Mostly Cloudy
01/01/2010,09:52 AM,2010-01-01 14:52:00+00:00,4.0,,73.0,983.39,320.0,NW,30.0,48.0,,Cloudy
01/01/2010,10:52 AM,2010-01-01 15:52:00+00:00,4.0,,70.0,983.12,330.0,NNW,33.0,39.0,,Mostly Cloudy / Windy
01/01/2010,11:01 AM,2010-01-01 16:01:00+00:00,4.0,,70.0,983.12,330.0,NNW,31.0,41.0,,Mostly Cloudy
01/01/2010,11:52 AM,2010-01-01 16:52:00+00:00,6.0,,62.0,983.29,330.0,NNW,26.0,41.0,,Fair
01/01/2010,12:52 PM,2010-01-01 17:52:00+00:00,7.0,,53.0,982.62,320.0,NW,37.0,43.0,,Fair / Windy
01/01/2010,01:52 PM,2010-01-01 18:52:00+00:00,8.0,,50.0,982.04,330.0,NNW,28.0,37.0,,Fair
01/01/2010,02:52 PM,2010-01-01 19:52:00+00:00,8.0,,44.0,981.85,340.0,NNW,31.0,48.0,,Fair
01/01/2010,03:52 PM,2010-01-01 20:52:00+00:00,8.0,,44.0,982.52,310.0,NW,31.0,41.0,,Fair
01/01/2010,04:52 PM,2010-01-01 21:52:00+00:00,7.0,,42.0,982.42,330.0,NNW,31.0,41.0,,Fair
01/01/2010,05:52 PM,2010-01-01 22:52:00+00:00,4.0,,47.0,983.29,330.0,NNW,24.0,33.0,,Fair
01/01/2010,06:52 PM,2010-01-01 23:52:00+00:00,3.0,,53.0,984.06,330.0,NNW,24.0,39.0,,Fair
01/01/2010,07:52 PM,2010-01-02 00:52:00+00:00,2.0,,55.0,984.74,330.0,NNW,28.0,41.0,,Fair
