date,time,timestamp_utc,temp_c,dewpt_c,humidity_pct,pressure_hpa,wind_dir_deg,wind_dir_card,wind_speed_kmh,wind_gust_kmh,precip_mm,wx_phrase
12/31/2009,11:53 PM,2010-01-01 07:53:00+00:00,9.0,,93.0,995.8,220.0,SW,20.0,,0.01,Cloudy
01/01/2010,12:53 AM,2010-01-01 08:53:00+00:00,9.0,,96.0,995.31,180.0,S,15.0,,0.25,Cloudy
01/01/2010,01:13 AM,2010-01-01 09:13:00+00:00,8.0,,100.0,994.68,180.0,S,17.0,,,Partly Cloudy
01/01/2010,01:53 AM,2010-01-01 09:53:00+00:00,9.0,,96.0,995.01,150.0,SSE,13.0,,,Mostly Cloudy
01/01/2010,02:53 AM,2010-01-01 10:53:00+00:00,9.0,,93.0,994.82,150.0,SSE,11.0,,0.25,Mostly Cloudy
01/01/2010,02:57 AM,2010-01-01 10:57:00+00:00,8.0,,100.0,994.01,140.0,SE,11.0,,0.25,Cloudy
01/01/2010,03:53 AM,2010-01-01 11:53:00+00:00,8.0,,93.0,993.64,120.0,ESE,11.0,,1.27,Cloudy
01/01/2010,04:53 AM,2010-01-01 12:53:00+00:00,8.0,,89.0,992.35,150.0,SSE,15.0,,0.01,Cloudy
01/01/2010,05:53 AM,2010-01-01 13:53:00+00:00,8.0,,97.0,993.14,170.0,S,15.0,,0.51,Cloudy
01/01/2010,06:53 AM,2010-01-01 14:53:00+00:00,10.0,,86.0,993.04,180.0,S,19.0,,,Cloudy
01/01/2010,07:53 AM,2010-01-01 15:53:00+00:00,10.0,,86.0,993.04,180.0,S,20.0,,0.51,Cloudy
01/01/2010,08:53 AM,2010-01-01 16:53:00+00:00,11.0,,80.0,993.14,170.0,S,26.0,37.0,0.01,Cloudy
01/01/2010,09:53 AM,2010-01-01 17:53:00+00:00,10.0,,83.0,993.34,180.0,S,17.0,,0.01,Cloudy
01/01/2010,10:53 AM,2010-01-01 18:53:00+00:00,10.0,,77.0,993.34,180.0,S,26.0,,0.25,Cloudy
