city,outcome_score,win_pct,trades_per_year,n_trades,threshold,hour_min,calibrated_at
phoenix,244.1284,98.55,299.0,1795,,,2026-05-11T01:30:02
las_vegas,243.5422,98.27,299.7,1796,,,2026-05-11T16:53:01
buenos_aires,236.0518,98.04,254.7,1529,,,2026-05-11T01:30:02
karachi,232.9408,97.06,250.1,1089,,,2026-05-09T21:04:20
madrid,231.5675,94.66,278.4,1668,,,2026-05-12T16:59:24
beijing,231.2076,98.64,219.8,1319,,,2026-05-11T01:30:02
tel_aviv,229.9429,93.78,282.1,1688,,,2026-05-12T16:59:24
dallas,227.8926,96.23,232.5,928,,,2026-05-09T17:30:37
lagos,227.7783,96.25,231.6,986,,,2026-05-09T21:04:20
miami,227.5135,97.07,219.6,547,,,2026-05-09T21:04:20
ankara,224.4626,94.83,231.8,928,,,2026-05-09T17:30:37
singapore,222.1857,96.35,201.3,876,,,2026-05-09T21:04:20
warsaw,217.9629,94.03,207.0,1240,,,2026-05-12T00:22:04
munich,215.8187,91.89,222.2,1331,,,2026-05-12T00:22:04
jakarta,215.0898,95.2,180.7,688,,,2026-05-10T11:13:19
kuala_lumpur,214.5961,97.85,155.0,930,,,2026-05-11T01:30:02
chicago,210.6056,94.31,170.1,1019,,,2026-05-11T01:30:02
moscow,205.9744,95.36,143.5,862,,,2026-05-12T00:22:04
taipei,199.5649,87.27,192.5,1155,,,2026-05-12T00:22:04
