date,time,timestamp_utc,temp_c,dewpt_c,humidity_pct,pressure_hpa,wind_dir_deg,wind_dir_card,wind_speed_kmh,wind_gust_kmh,precip_mm,wx_phrase
01/01/2003,05:53 AM,2003-01-01 05:53:00+0000,4.0,,73.0,994.16,,,,,,Fair
01/01/2003,07:53 AM,2003-01-01 07:53:00+0000,2.0,,82.0,993.28,,,,,,Fair
01/01/2003,08:53 AM,2003-01-01 08:53:00+0000,1.0,,89.0,992.79,,,,,,Fair
01/01/2003,09:53 AM,2003-01-01 09:53:00+0000,1.0,,89.0,992.2,,,,,,Fair
01/01/2003,10:53 AM,2003-01-01 10:53:00+0000,1.0,,89.0,991.41,,,,,,Fair
01/01/2003,11:53 AM,2003-01-01 11:53:00+0000,1.0,,89.0,991.21,,,7.0,,,Fair
01/01/2003,12:53 PM,2003-01-01 12:53:00+0000,2.0,,82.0,990.62,,,11.0,,,Fair
01/01/2003,01:53 PM,2003-01-01 13:53:00+0000,3.0,,73.0,990.72,,,15.0,,,Fair
01/01/2003,02:53 PM,2003-01-01 14:53:00+0000,7.0,,51.0,991.31,,,19.0,,,Fair
01/01/2003,03:53 PM,2003-01-01 15:53:00+0000,9.0,,44.0,990.53,,,28.0,,,Fair
01/01/2003,04:53 PM,2003-01-01 16:53:00+0000,13.0,,42.0,989.64,,,24.0,,,Fair
01/01/2003,05:53 PM,2003-01-01 17:53:00+0000,14.0,,44.0,988.76,,,22.0,,,Fair
01/01/2003,06:53 PM,2003-01-01 18:53:00+0000,17.0,,39.0,987.58,,,17.0,,,Fair
01/01/2003,07:53 PM,2003-01-01 19:53:00+0000,19.0,,32.0,986.99,,,19.0,,,Fair
01/01/2003,08:53 PM,2003-01-01 20:53:00+0000,21.0,,25.0,986.99,,,26.0,,,Fair
01/01/2003,09:53 PM,2003-01-01 21:53:00+0000,20.0,,27.0,988.17,,,28.0,,,Fair
01/01/2003,10:53 PM,2003-01-01 22:53:00+0000,19.0,,32.0,988.76,,,20.0,,,Fair
01/01/2003,11:53 PM,2003-01-01 23:53:00+0000,14.0,,46.0,990.82,,,33.0,,,Partly Cloudy / Windy
01/02/2003,12:53 AM,2003-01-02 00:53:00+0000,11.0,,48.0,993.08,,,35.0,,,Partly Cloudy / Windy
01/02/2003,01:53 AM,2003-01-02 01:53:00+0000,9.0,,54.0,994.46,,,37.0,,,Fair / Windy
01/02/2003,02:53 AM,2003-01-02 02:53:00+0000,7.0,,55.0,995.93,,,41.0,,,Fair / Windy
01/02/2003,03:53 AM,2003-01-02 03:53:00+0000,5.0,,57.0,997.21,,,35.0,,,Fair / Windy
01/02/2003,04:53 AM,2003-01-02 04:53:00+0000,4.0,,63.0,997.8,,,31.0,,,Fair
01/02/2003,05:53 AM,2003-01-02 05:53:00+0000,3.0,,68.0,998.88,,,37.0,,,Mostly Cloudy / Windy
01/02/2003,06:53 AM,2003-01-02 06:53:00+0000,3.0,,67.0,999.27,,,24.0,,,Mostly Cloudy
01/02/2003,07:53 AM,2003-01-02 07:53:00+0000,3.0,,65.0,1000.06,,,28.0,,,Mostly Cloudy
01/02/2003,08:53 AM,2003-01-02 08:53:00+0000,3.0,,70.0,1000.35,,,28.0,,,Cloudy
01/02/2003,09:53 AM,2003-01-02 09:53:00+0000,2.0,,70.0,1000.65,,,28.0,,,Cloudy
01/02/2003,10:53 AM,2003-01-02 10:53:00+0000,3.0,,59.0,1001.43,,,24.0,,,Fair
01/02/2003,11:53 AM,2003-01-02 11:53:00+0000,2.0,,64.0,1002.12,,,22.0,,,Fair
01/02/2003,12:53 PM,2003-01-02 12:53:00+0000,2.0,,67.0,1003.1,,,28.0,,,Fair
01/02/2003,01:53 PM,2003-01-02 13:53:00+0000,2.0,,64.0,1004.38,,,22.0,,,Fair
01/02/2003,02:53 PM,2003-01-02 14:53:00+0000,3.0,,60.0,1005.36,,,24.0,,,Fair
01/02/2003,03:53 PM,2003-01-02 15:53:00+0000,5.0,,57.0,1006.64,,,28.0,,,Fair
01/02/2003,04:53 PM,2003-01-02 16:53:00+0000,7.0,,49.0,1006.84,,,26.0,,,Fair
01/02/2003,05:53 PM,2003-01-02 17:53:00+0000,8.0,,42.0,1005.76,,,26.0,,,Fair
01/02/2003,06:53 PM,2003-01-02 18:53:00+0000,9.0,,41.0,1004.58,,,28.0,,,Fair
01/02/2003,07:53 PM,2003-01-02 19:53:00+0000,10.0,,44.0,1004.28,,,24.0,,,Fair
01/02/2003,08:53 PM,2003-01-02 20:53:00+0000,11.0,,47.0,1004.09,,,28.0,,,Fair
01/02/2003,09:53 PM,2003-01-02 21:53:00+0000,11.0,,50.0,1004.48,,,22.0,,,Fair
01/02/2003,10:53 PM,2003-01-02 22:53:00+0000,11.0,,52.0,1004.97,,,20.0,,,Partly Cloudy
01/02/2003,11:53 PM,2003-01-02 23:53:00+0000,9.0,,58.0,1005.46,,,11.0,,,Fair
01/03/2003,12:53 AM,2003-01-03 00:53:00+0000,8.0,,59.0,1005.66,,,13.0,,,Fair
01/03/2003,01:53 AM,2003-01-03 01:53:00+0000,8.0,,63.0,1005.85,,,,,,Fair
01/03/2003,02:53 AM,2003-01-03 02:53:00+0000,5.0,,76.0,1006.35,,,,,,Fair
01/03/2003,03:53 AM,2003-01-03 03:53:00+0000,4.0,,83.0,1006.54,,,,,,Fair
01/03/2003,04:53 AM,2003-01-03 04:53:00+0000,4.0,,82.0,1006.84,,,,,,Fair
01/03/2003,05:53 AM,2003-01-03 05:53:00+0000,2.0,,89.0,1006.84,,,,,,Fair
01/03/2003,06:53 AM,2003-01-03 06:53:00+0000,2.0,,89.0,1006.94,,,,,,Fair
01/03/2003,07:53 AM,2003-01-03 07:53:00+0000,1.0,,96.0,1006.74,,,,,,Fair
01/03/2003,08:53 AM,2003-01-03 08:53:00+0000,0.0,,96.0,1006.94,,,6.0,,,Fair
01/03/2003,09:53 AM,2003-01-03 09:53:00+0000,1.0,,96.0,1007.43,,,,,,Fair
01/03/2003,10:53 AM,2003-01-03 10:53:00+0000,1.0,,96.0,1007.62,,,,,,Fair
01/03/2003,11:53 AM,2003-01-03 11:53:00+0000,0.0,,92.0,1007.72,,,,,,Fair
01/03/2003,12:53 PM,2003-01-03 12:53:00+0000,0.0,,96.0,1007.92,,,,,,Fair
01/03/2003,02:53 PM,2003-01-03 14:53:00+0000,4.0,,86.0,1008.31,,,6.0,,,Fair
01/03/2003,03:53 PM,2003-01-03 15:53:00+0000,8.0,,66.0,1008.41,,,11.0,,,Fair
01/03/2003,04:53 PM,2003-01-03 16:53:00+0000,10.0,,57.0,1007.92,,,11.0,,,Partly Cloudy
01/03/2003,05:53 PM,2003-01-03 17:53:00+0000,12.0,,52.0,1006.64,,,15.0,,,Fair
01/03/2003,06:53 PM,2003-01-03 18:53:00+0000,13.0,,47.0,1005.27,,,15.0,,,Fair
01/03/2003,08:53 PM,2003-01-03 20:53:00+0000,16.0,,39.0,1003.79,,,13.0,,,Fair
01/03/2003,09:53 PM,2003-01-03 21:53:00+0000,16.0,,41.0,1003.2,,,11.0,,,Fair
01/03/2003,10:53 PM,2003-01-03 22:53:00+0000,15.0,,46.0,1003.2,,,15.0,,,Fair
01/03/2003,11:53 PM,2003-01-03 23:53:00+0000,13.0,,55.0,1002.91,,,15.0,,,Fair
01/04/2003,12:53 AM,2003-01-04 00:53:00+0000,13.0,,57.0,1003.1,,,17.0,,,Fair
01/04/2003,01:53 AM,2003-01-04 01:53:00+0000,12.0,,61.0,1003.2,,,15.0,,,Fair
01/04/2003,03:53 AM,2003-01-04 03:53:00+0000,10.0,,68.0,1002.71,,,17.0,,,Fair
01/04/2003,04:53 AM,2003-01-04 04:53:00+0000,9.0,,74.0,1002.22,,,15.0,,,Fair
01/04/2003,05:53 AM,2003-01-04 05:53:00+0000,8.0,,77.0,1001.73,,,11.0,,,Fair
01/04/2003,06:53 AM,2003-01-04 06:53:00+0000,6.0,,82.0,1001.63,,,9.0,,,Fair
01/04/2003,07:53 AM,2003-01-04 07:53:00+0000,6.0,,82.0,1001.83,,,7.0,,,Fair
01/04/2003,08:53 AM,2003-01-04 08:53:00+0000,5.0,,89.0,1001.73,,,6.0,,,Fair
01/04/2003,09:53 AM,2003-01-04 09:53:00+0000,4.0,,89.0,1001.43,,,,,,Fair
01/04/2003,10:53 AM,2003-01-04 10:53:00+0000,6.0,,85.0,1001.24,,,6.0,,,Fair
01/04/2003,11:53 AM,2003-01-04 11:53:00+0000,6.0,,85.0,1001.34,,,6.0,,,Fair
01/04/2003,12:53 PM,2003-01-04 12:53:00+0000,4.0,,89.0,1001.53,,,6.0,,,Fair
01/04/2003,01:53 PM,2003-01-04 13:53:00+0000,6.0,,80.0,1001.83,,,,,,Fair
01/04/2003,02:53 PM,2003-01-04 14:53:00+0000,8.0,,68.0,1002.71,,,,,,Fair
01/04/2003,03:53 PM,2003-01-04 15:53:00+0000,11.0,,54.0,1002.91,,,7.0,,,Fair
01/04/2003,04:53 PM,2003-01-04 16:53:00+0000,15.0,,41.0,1002.32,,,13.0,,,Fair
01/04/2003,05:53 PM,2003-01-04 17:53:00+0000,17.0,,33.0,1001.34,,,17.0,,,Fair
01/04/2003,06:53 PM,2003-01-04 18:53:00+0000,18.0,,32.0,999.57,,,17.0,,,Fair
01/04/2003,07:53 PM,2003-01-04 19:53:00+0000,19.0,,30.0,998.68,,,15.0,,,Fair
01/04/2003,08:53 PM,2003-01-04 20:53:00+0000,20.0,,31.0,999.07,,,11.0,,,Fair
01/04/2003,09:53 PM,2003-01-04 21:53:00+0000,20.0,,31.0,998.88,,,13.0,,,Fair
01/04/2003,10:53 PM,2003-01-04 22:53:00+0000,19.0,,34.0,999.17,,,13.0,,,Fair
01/05/2003,01:53 AM,2003-01-05 01:53:00+0000,14.0,,51.0,999.96,,,,,,Fair
01/05/2003,03:53 AM,2003-01-05 03:53:00+0000,9.0,,71.0,1000.75,,,9.0,,,Fair
01/05/2003,04:53 AM,2003-01-05 04:53:00+0000,9.0,,71.0,1000.87,,,,,,Fair
01/05/2003,05:53 AM,2003-01-05 05:53:00+0000,8.0,,79.0,1001.14,,,,,,Fair
